Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-11-24,Carolina Hurricanes,1,Seattle Kraken,2,,17151,2:30,
2021-11-24,Ottawa Senators,3,San Jose Sharks,6,,10076,2:31,
2021-11-24,Montreal Canadiens,3,Washington Capitals,6,,18573,2:29,
2021-11-26,Ottawa Senators,0,Anaheim Ducks,4,,14687,2:21,
2021-11-26,New York Rangers,5,Boston Bruins,2,,17850,2:34,
2021-11-26,Montreal Canadiens,1,Buffalo Sabres,4,,9958,2:20,
2021-11-26,Vancouver Canucks,2,Columbus Blue Jackets,4,,16992,2:20,
2021-11-26,St. Louis Blues,2,Chicago Blackhawks,3,OT,19681,2:25,
2021-11-26,Colorado Avalanche,1,Dallas Stars,3,,18532,2:23,
2021-11-26,Winnipeg Jets,1,Minnesota Wild,7,,19113,2:21,
2021-11-26,New Jersey Devils,2,Nashville Predators,4,,17159,2:25,
2021-11-26,Pittsburgh Penguins,1,New York Islanders,0,,17255,2:21,
2021-11-26,Carolina Hurricanes,6,Philadelphia Flyers,3,,18959,2:31,
2021-11-26,Toronto Maple Leafs,4,San Jose Sharks,1,,14068,2:17,
2021-11-26,Seattle Kraken,0,Tampa Bay Lightning,3,,19092,2:13,
2021-11-26,Florida Panthers,3,Washington Capitals,4,,18573,2:35,
2021-11-27,Dallas Stars,3,Arizona Coyotes,2,,10839,2:26,
2021-11-27,Winnipeg Jets,4,Calgary Flames,2,,17036,2:24,
2021-11-27,Nashville Predators,2,Colorado Avalanche,6,,17050,2:38,
2021-11-27,Buffalo Sabres,2,Detroit Red Wings,3,OT,18050,2:27,
2021-11-27,Seattle Kraken,4,Florida Panthers,1,,15305,2:18,
2021-11-27,Ottawa Senators,2,Los Angeles Kings,4,,15406,2:30,
2021-11-27,Montreal Canadiens,6,Pittsburgh Penguins,3,,17985,2:34,
2021-11-27,Columbus Blue Jackets,3,St. Louis Blues,6,,18096,2:23,
2021-11-27,Edmonton Oilers,3,Vegas Golden Knights,2,,18381,2:26,
2021-11-28,Toronto Maple Leafs,5,Anaheim Ducks,1,,13664,2:18,
2021-11-28,Vancouver Canucks,2,Boston Bruins,3,,17850,2:35,
2021-11-28,Washington Capitals,4,Carolina Hurricanes,2,,18815,2:35,
2021-11-28,San Jose Sharks,2,Chicago Blackhawks,0,,17663,2:15,
2021-11-28,Tampa Bay Lightning,2,Minnesota Wild,4,,17785,2:24,
2021-11-28,Philadelphia Flyers,2,New Jersey Devils,5,,13113,2:25,
2021-11-29,Seattle Kraken,7,Buffalo Sabres,4,,10004,2:26,
2021-11-29,Pittsburgh Penguins,1,Calgary Flames,2,SO,15343,2:43,
2021-11-29,Vancouver Canucks,2,Montreal Canadiens,1,,20478,2:25,
2021-11-29,Arizona Coyotes,1,Winnipeg Jets,0,,14129,2:19,
2021-11-30,Detroit Red Wings,2,Boston Bruins,1,,17850,2:33,
2021-11-30,Carolina Hurricanes,1,Dallas Stars,4,,17345,2:31,
2021-11-30,Washington Capitals,4,Florida Panthers,5,,12365,2:37,
2021-11-30,Anaheim Ducks,5,Los Angeles Kings,4,SO,15276,2:39,
2021-11-30,Arizona Coyotes,2,Minnesota Wild,5,,16239,2:28,
2021-11-30,San Jose Sharks,5,New Jersey Devils,2,,13492,2:22,
2021-11-30,Columbus Blue Jackets,0,Nashville Predators,6,,16874,2:37,
2021-11-30,Tampa Bay Lightning,3,St. Louis Blues,4,SO,16605,2:41,
2021-12-01,Vegas Golden Knights,5,Anaheim Ducks,6,,11902,2:39,
2021-12-01,Seattle Kraken,3,Detroit Red Wings,4,SO,18963,2:38,
2021-12-01,Pittsburgh Penguins,2,Edmonton Oilers,5,,17130,2:29,
2021-12-01,Philadelphia Flyers,1,New York Rangers,4,,15687,2:26,
2021-12-01,Vancouver Canucks,6,Ottawa Senators,2,,10571,2:28,
2021-12-01,Colorado Avalanche,3,Toronto Maple Leafs,8,,18931,2:30,
